"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1990,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"11,200"
1990,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"397,001"
1990,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,951,675"
1990,MD,Total Electric Power Industry,Coal (Short Tons),"9,047,268"
1990,MD,Total Electric Power Industry,Petroleum (Barrels),"7,241,159"
1990,MD,Total Electric Power Industry,Natural Gas (Mcf),"19,580,351"
1990,MD,Total Electric Power Industry,Other Gases (Billion BTU),"4,907"
1990,MD,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,944,682"
1990,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"6,832,381"
1990,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"17,535,991"
1990,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"366,166"
1990,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,753,604"
1990,MD,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),"4,907"
1990,MD,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"26,423"
1990,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"35,402"
1990,MD,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"76,163"
1990,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"7,210"
1990,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"290,756"
1990,ME,Total Electric Power Industry,Coal (Short Tons),"209,972"
1990,ME,Total Electric Power Industry,Petroleum (Barrels),"5,242,577"
1990,ME,Total Electric Power Industry,Natural Gas (Mcf),"795,136"
1990,ME,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,556,550"
1990,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"4,050"
1990,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"194,500"
1990,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"127,464"
1990,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"19,004"
1990,ME,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
1990,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"5,820"
1990,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"82,508"
1990,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,657,153"
1990,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"600,636"
1990,MI,Total Electric Power Industry,Coal (Short Tons),"30,658,028"
1990,MI,Total Electric Power Industry,Petroleum (Barrels),"1,716,367"
1990,MI,Total Electric Power Industry,Natural Gas (Mcf),"91,487,906"
1990,MI,Total Electric Power Industry,Other Gases (Billion BTU),"7,050"
1990,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"29,725,964"
1990,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,488,387"
1990,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"22,999,456"
1990,MI,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),0
1990,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"58,830"
1990,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"86,371"
1990,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,237"
1990,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"55,896,053"
1990,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"59,629"
1990,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"8,858"
1990,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"274,386"
1990,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"786,064"
1990,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"217,885"
1990,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"12,259,181"
1990,MI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"7,050"
1990,MN,Total Electric Power Industry,Coal (Short Tons),"17,193,155"
1990,MN,Total Electric Power Industry,Petroleum (Barrels),"829,597"
1990,MN,Total Electric Power Industry,Natural Gas (Mcf),"7,196,351"
1990,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,915,517"
1990,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"819,766"
1990,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,230,567"
1990,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"77,350"
1990,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,065"
1990,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"552,061"
1990,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"277,638"
1990,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"6,766"
1990,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,336,373"
1990,MO,Total Electric Power Industry,Coal (Short Tons),"24,389,831"
1990,MO,Total Electric Power Industry,Petroleum (Barrels),"216,092"
1990,MO,Total Electric Power Industry,Natural Gas (Mcf),"3,944,518"
1990,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"24,230,511"
1990,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"214,647"
