"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
2015,OK,Total Electric Power Industry,Petroleum (Barrels),"19,845"
2015,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"181,616"
2015,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,048,093"
2015,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,855"
2015,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),78
2015,OK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),9
2015,OK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,190,523"
2015,OK,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"451,743"
2015,OK,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"84,031,613"
2015,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"14,453,101"
2015,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"169,886,445"
2015,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"16,981"
2015,OR,Total Electric Power Industry,Coal (Short Tons),"1,400,657"
2015,OR,Total Electric Power Industry,Geothermal (Billion Btu),"1,666"
2015,OR,Total Electric Power Industry,Natural Gas (Mcf),"112,912,098"
2015,OR,Total Electric Power Industry,Petroleum (Barrels),"10,636"
2015,OR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2015,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"394,670"
2015,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2015,OR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"571,417"
2015,OR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),117
2015,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"35,753,229"
2015,OR,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"1,650"
2015,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"30,037,194"
2015,OR,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,400,657"
2015,OR,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),16
2015,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"46,155,588"
2015,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"10,519"
2015,PA,Total Electric Power Industry,Coal (Short Tons),"30,898,044"
2015,PA,Total Electric Power Industry,Natural Gas (Mcf),"438,280,151"
2015,PA,Total Electric Power Industry,Other Gases (Billion Btu),"5,687"
2015,PA,Total Electric Power Industry,Petroleum (Barrels),"1,323,798"
2015,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"175,101"
2015,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,461,310"
2015,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"5,687"
2015,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"269,621"
2015,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),948
2015,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,296,894"
2015,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"5,795"
2015,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"3,776,740"
2015,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"37,279,853"
2015,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2015,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"58,646"
2015,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"26,945,255"
2015,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"393,208,623"
2015,PA,"Electric Generators, Independent Power Producers",Other Gases (Billion Btu),0
2015,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"989,042"
2015,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),0
2015,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"33,471"
2015,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),694
2015,RI,Total Electric Power Industry,Coal (Short Tons),0
2015,RI,Total Electric Power Industry,Natural Gas (Mcf),"50,544,536"
2015,RI,Total Electric Power Industry,Petroleum (Barrels),"151,492"
2015,RI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"539,382"
2015,RI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"8,518"
2015,RI,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2015,RI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"50,005,154"
2015,RI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"120,287"
2015,RI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"22,687"
2015,SC,Total Electric Power Industry,Coal (Short Tons),"9,238,143"
2015,SC,Total Electric Power Industry,Natural Gas (Mcf),"135,504,552"
2015,SC,Total Electric Power Industry,Petroleum (Barrels),"385,237"
2015,SC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"54,913"
2015,SC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"239,908"
2015,SC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"29,113"
2015,SC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"20,618"
2015,SC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),223
2015,SC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"8,680,089"
2015,SC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"11,855"
2015,SC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,300,255"
2015,SC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,893"
2015,SC,"Electric Generators, Electric Utilities",Coal (Short Tons),"9,183,230"
2015,SC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"119,263,682"
2015,SC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"342,153"
2015,SD,Total Electric Power Industry,Coal (Short Tons),"989,978"
2015,SD,Total Electric Power Industry,Natural Gas (Mcf),"6,127,672"
2015,SD,Total Electric Power Industry,Petroleum (Barrels),"38,476"
2015,SD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),61
2015,SD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),71
2015,SD,"Electric Generators, Electric Utilities",Coal (Short Tons),"989,978"
2015,SD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,127,672"
2015,SD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"38,344"
2015,TN,Total Electric Power Industry,Coal (Short Tons),"14,861,706"
2015,TN,Total Electric Power Industry,Natural Gas (Mcf),"71,920,175"
2015,TN,Total Electric Power Industry,Other Gases (Billion Btu),63
2015,TN,Total Electric Power Industry,Petroleum (Barrels),"263,561"
2015,TN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"202,182"
2015,TN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,158,919"
2015,TN,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),63
2015,TN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,480"
2015,TN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2015,TN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,221,064"
2015,TN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),39
2015,TN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),0
2015,TN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),504
2015,TN,"Electric Generators, Electric Utilities",Coal (Short Tons),"14,659,524"
2015,TN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"69,540,192"
2015,TN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"261,538"
2015,TX,Total Electric Power Industry,Coal (Short Tons),"86,779,197"
2015,TX,Total Electric Power Industry,Natural Gas (Mcf),"1,743,885,233"
2015,TX,Total Electric Power Industry,Other Gases (Billion Btu),"17,812"
2015,TX,Total Electric Power Industry,Petroleum (Barrels),"548,549"
2015,TX,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2015,TX,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"261,817,822"
2015,TX,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"9,734"
2015,TX,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"340,460"
2015,TX,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"5,594,621"
2015,TX,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,415"
2015,TX,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"286,720,725"
2015,TX,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),"8,077"
2015,TX,"Electric Generators, Independent Power Producers",Coal (Short Tons),"56,128,560"
2015,TX,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"838,123,175"
2015,TX,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"125,550"
2015,TX,"Electric Generators, Electric Utilities",Coal (Short Tons),"30,650,637"
2015,TX,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"351,628,890"
2015,TX,"Electric Generators, Electric Utilities",Petroleum (Barrels),"81,124"
2015,US-Total,Total Electric Power Industry,Coal (Short Tons),"739,594,180"
2015,US-Total,Total Electric Power Industry,Geothermal (Billion Btu),"148,336"
2015,US-Total,Total Electric Power Industry,Natural Gas (Mcf),"10,016,575,541"
2015,US-Total,Total Electric Power Industry,Other Gases (Billion Btu),"105,997"
2015,US-Total,Total Electric Power Industry,Petroleum (Barrels),"49,145,370"
2015,US-Total,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,998,614"
2015,US-Total,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"624,544,843"
2015,US-Total,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"76,558"
2015,US-Total,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,907,235"
2015,US-Total,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"162,972"
2015,US-Total,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"70,092,320"
2015,US-Total,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"259,717"
2015,US-Total,"Combined Heat and Power, Electric Power",Coal (Short Tons),"10,912,644"
2015,US-Total,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"886,722,790"
2015,US-Total,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),"27,232"
2015,US-Total,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"2,610,576"
2015,US-Total,"Electric Generators, Independent Power Producers",Coal (Short Tons),"185,013,881"
2015,US-Total,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"138,191"
2015,US-Total,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,689,960,444"
2015,US-Total,"Electric Generators, Independent Power Producers",Other Gases (Billion Btu),0
2015,US-Total,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"10,207,910"
2015,US-Total,"Electric Generators, Electric Utilities",Coal (Short Tons),"539,506,069"
2015,US-Total,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),"10,145"
2015,US-Total,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,745,255,144"
2015,US-Total,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),"2,208"
2015,US-Total,"Electric Generators, Electric Utilities",Petroleum (Barrels),"34,159,931"
2015,UT,Total Electric Power Industry,Coal (Short Tons),"14,814,421"
2015,UT,Total Electric Power Industry,Geothermal (Billion Btu),"4,003"
2015,UT,Total Electric Power Industry,Natural Gas (Mcf),"61,376,414"
2015,UT,Total Electric Power Industry,Other Gases (Billion Btu),54
2015,UT,Total Electric Power Industry,Petroleum (Barrels),"34,365"
2015,UT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"234,079"
2015,UT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"4,068,559"
2015,UT,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),54
2015,UT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),796
2015,UT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"877,103"
2015,UT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2015,UT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),735
2015,UT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2015,UT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"440,394"
2015,UT,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"1,583"
2015,UT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,586,557"
2015,UT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,204"
2015,UT,"Electric Generators, Electric Utilities",Coal (Short Tons),"14,139,948"
2015,UT,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),"2,420"
2015,UT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"54,843,460"
2015,UT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"32,365"
2015,VA,Total Electric Power Industry,Coal (Short Tons),"7,586,708"
2015,VA,Total Electric Power Industry,Natural Gas (Mcf),"244,759,516"
2015,VA,Total Electric Power Industry,Petroleum (Barrels),"1,906,716"
2015,VA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"61,927"
2015,VA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,833,367"
2015,VA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,792"
2015,VA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"7,982"
2015,VA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"69,700"
2015,VA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"2,480"
2015,VA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"111,505"
2015,VA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"11,680,570"
2015,VA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"93,371"
2015,VA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"284,441"
2015,VA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"74,872,480"
2015,VA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"330,243"
2015,VA,"Electric Generators, Electric Utilities",Coal (Short Tons),"7,120,853"
2015,VA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"155,303,399"
2015,VA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,474,830"
2015,VT,Total Electric Power Industry,Natural Gas (Mcf),"20,736"
2015,VT,Total Electric Power Industry,Petroleum (Barrels),"8,455"
2015,VT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,558"
2015,VT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,583"
2015,VT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"19,178"
2015,VT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"6,872"
2015,WA,Total Electric Power Industry,Coal (Short Tons),"3,414,000"
2015,WA,Total Electric Power Industry,Natural Gas (Mcf),"95,061,195"
2015,WA,Total Electric Power Industry,Other Gases (Billion Btu),"4,540"
2015,WA,Total Electric Power Industry,Petroleum (Barrels),"37,573"
2015,WA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"8,903"
2015,WA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"305,362"
2015,WA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"15,967"
2015,WA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"79,718"
2015,WA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),516
2015,WA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,673,743"
2015,WA,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),"4,540"
2015,WA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2015,WA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"3,405,097"
2015,WA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"29,583,666"
2015,WA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"17,298"
2015,WA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"58,418,706"
2015,WA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,792"
2015,WI,Total Electric Power Industry,Coal (Short Tons),"21,692,343"
2015,WI,Total Electric Power Industry,Natural Gas (Mcf),"99,125,089"
2015,WI,Total Electric Power Industry,Petroleum (Barrels),"352,515"
2015,WI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"170,514"
2015,WI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,267,772"
2015,WI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"118,314"
2015,WI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2015,WI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"548,260"
2015,WI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),29
2015,WI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,934,573"
2015,WI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"3,924"
2015,WI,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2015,WI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,605,446"
2015,WI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),993
2015,WI,"Electric Generators, Electric Utilities",Coal (Short Tons),"21,521,829"
2015,WI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"91,769,038"
2015,WI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"229,255"
2015,WV,Total Electric Power Industry,Coal (Short Tons),"28,181,023"
2015,WV,Total Electric Power Industry,Natural Gas (Mcf),"13,218,998"
2015,WV,Total Electric Power Industry,Other Gases (Billion Btu),166
2015,WV,Total Electric Power Industry,Petroleum (Barrels),"247,152"
2015,WV,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"128,037"
2015,WV,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),70
2015,WV,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),166
2015,WV,"Combined Heat and Power, Electric Power",Coal (Short Tons),"231,755"
2015,WV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,973"
2015,WV,"Electric Generators, Independent Power Producers",Coal (Short Tons),"4,775,961"
2015,WV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"11,883,587"
2015,WV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"23,328"
2015,WV,"Electric Generators, Electric Utilities",Coal (Short Tons),"23,045,270"
2015,WV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,332,368"
2015,WV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"223,824"
2015,WY,Total Electric Power Industry,Coal (Short Tons),"26,485,958"
2015,WY,Total Electric Power Industry,Natural Gas (Mcf),"4,858,736"
2015,WY,Total Electric Power Industry,Other Gases (Billion Btu),"2,199"
2015,WY,Total Electric Power Industry,Petroleum (Barrels),"85,025"
2015,WY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"173,435"
2015,WY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,625,599"
2015,WY,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"2,199"
2015,WY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),384
2015,WY,"Electric Generators, Independent Power Producers",Coal (Short Tons),"531,853"
2015,WY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,621"
2015,WY,"Electric Generators, Electric Utilities",Coal (Short Tons),"25,780,670"
2015,WY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,225,516"
2015,WY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"84,641"
2016,AK,Total Electric Power Industry,Coal (Short Tons),"443,129"
2016,AK,Total Electric Power Industry,Natural Gas (Mcf),"28,498,217"
2016,AK,Total Electric Power Industry,Petroleum (Barrels),"1,453,554"
2016,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"267,317"
2016,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"68,079"
2016,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"36,687"
2016,AK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"6,932"
2016,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,202"
2016,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"157,949"
2016,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2016,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"248,493"
2016,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"28,223,968"
2016,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,382,273"
2016,AL,Total Electric Power Industry,Coal (Short Tons),"17,466,006"
2016,AL,Total Electric Power Industry,Natural Gas (Mcf),"403,769,815"
2016,AL,Total Electric Power Industry,Other Gases (Billion Btu),121
2016,AL,Total Electric Power Industry,Petroleum (Barrels),"78,760"
2016,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"17,511"
2016,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,182,115"
2016,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),121
2016,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"15,698"
2016,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2016,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"29,004,647"
2016,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"248,125,536"
2016,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"12,176"
2016,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"17,448,495"
2016,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"120,457,517"
2016,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"50,886"
2016,AR,Total Electric Power Industry,Coal (Short Tons),"14,075,475"
2016,AR,Total Electric Power Industry,Natural Gas (Mcf),"131,629,343"
2016,AR,Total Electric Power Industry,Petroleum (Barrels),"75,515"
2016,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"9,287"
2016,AR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,401,198"
2016,AR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,186"
2016,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"432,928"
2016,AR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,706,159"
2016,AR,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2016,AR,"Electric Generators, Independent Power Producers",Coal (Short Tons),"2,541,364"
2016,AR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"68,275,058"
2016,AR,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"15,697"
2016,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),"11,524,824"
2016,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"54,814,000"
2016,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"56,632"
2016,AZ,Total Electric Power Industry,Coal (Short Tons),"16,639,319"
2016,AZ,Total Electric Power Industry,Natural Gas (Mcf),"256,095,955"
2016,AZ,Total Electric Power Industry,Petroleum (Barrels),"97,704"
2016,AZ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"623,583"
2016,AZ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),90
2016,AZ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"85,776"
2016,AZ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2016,AZ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"105,670,802"
2016,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,639,319"
2016,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"149,715,794"
2016,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"97,614"
2016,CA,Total Electric Power Industry,Coal (Short Tons),"62,708"
2016,CA,Total Electric Power Industry,Geothermal (Billion Btu),"105,774"
2016,CA,Total Electric Power Industry,Natural Gas (Mcf),"701,604,916"
2016,CA,Total Electric Power Industry,Other Gases (Billion Btu),"8,198"
2016,CA,Total Electric Power Industry,Petroleum (Barrels),"227,893"
2016,CA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"62,708"
2016,CA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"67,778,077"
2016,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"8,198"
2016,CA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"143,977"
2016,CA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"11,300,845"
2016,CA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),490
2016,CA,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2016,CA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"100,774,343"
2016,CA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2016,CA,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"98,213"
2016,CA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"276,261,019"
2016,CA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"20,177"
2016,CA,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),"7,561"
2016,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"245,490,632"
2016,CA,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2016,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"63,248"
2016,CO,Total Electric Power Industry,Coal (Short Tons),"16,635,795"
2016,CO,Total Electric Power Industry,Natural Gas (Mcf),"93,346,665"
2016,CO,Total Electric Power Industry,Petroleum (Barrels),"21,292"
2016,CO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,996"
2016,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"323,281"
2016,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),46
2016,CO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"12,062"
2016,CO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2016,CO,"Combined Heat and Power, Electric Power",Coal (Short Tons),"5,568"
2016,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"809,870"
2016,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2016,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"15,008,186"
2016,CO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2016,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,628,231"
2016,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"77,193,266"
2016,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"21,246"
2016,CT,Total Electric Power Industry,Coal (Short Tons),"128,303"
2016,CT,Total Electric Power Industry,Natural Gas (Mcf),"127,129,590"
2016,CT,Total Electric Power Industry,Petroleum (Barrels),"208,909"
2016,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,617,572"
2016,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,577"
2016,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,212,806"
2016,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"2,828"
2016,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,897,920"
2016,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,986"
2016,CT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"128,303"
2016,CT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"119,980,704"
2016,CT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"190,610"
